
TL,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,TR
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,R
L,X,X,W,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,W,X,X,R
L,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,W,X,X,X,X,R
L,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,W,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,W,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,W,X,X,X,X,X,W,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,R
L,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,W,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,W,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
L,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,R
L,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,W,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,R
BL,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,BR
